"Date","Price","Open","High","Low","Change %"
"Aug 08","1.4674","1.5598","1.5633","1.4569","-5.94%"
"Sep 08","1.4104","1.4702","1.4867","1.3881","-3.88%"
"Oct 08","1.2733","1.4125","1.4177","1.2331","-9.72%"
"Nov 08","1.2698","1.2750","1.3119","1.2389","-0.27%"
"Dec 08","1.3980","1.2711","1.4721","1.2550","10.10%"
"Jan 09","1.2782","1.3967","1.4057","1.2765","-8.57%"
"Feb 09","1.2669","1.2768","1.3094","1.2512","-0.88%"
"Mar 09","1.3251","1.2626","1.3738","1.2456","4.59%"
"Apr 09","1.3226","1.3247","1.3582","1.2883","-0.19%"
"May 09","1.4154","1.3228","1.4171","1.3212","7.02%"
"Jun 09","1.4036","1.4124","1.4339","1.3750","-0.83%"
"Jul 09","1.4250","1.4035","1.4306","1.3833","1.52%"
"Aug 09","1.4331","1.4268","1.4447","1.4045","0.57%"
"Sep 09","1.4636","1.4331","1.4844","1.4177","2.13%"
"Oct 09","1.4718","1.4638","1.5064","1.4482","0.56%"
"Nov 09","1.5009","1.4714","1.5146","1.4625","1.98%"
"Dec 09","1.4318","1.5007","1.5143","1.4218","-4.60%"
"Jan 10","1.3863","1.4326","1.4584","1.3861","-3.18%"
"Feb 10","1.3626","1.3863","1.4027","1.3443","-1.71%"
"Mar 10","1.3512","1.3625","1.3819","1.3267","-0.84%"
"Apr 10","1.3298","1.3512","1.3694","1.3115","-1.58%"
"May 10","1.2306","1.3340","1.3340","1.2143","-7.46%"
"Jun 10","1.2236","1.2305","1.2469","1.1877","-0.57%"
"Jul 10","1.3048","1.2236","1.3109","1.2195","6.64%"
"Aug 10","1.2687","1.3061","1.3335","1.2586","-2.77%"
"Sep 10","1.3633","1.2688","1.3686","1.2645","7.46%"
"Oct 10","1.3950","1.3632","1.4160","1.3620","2.33%"
"Nov 10","1.2980","1.3964","1.4284","1.2967","-6.95%"
"Dec 10","1.3379","1.2987","1.3500","1.2972","3.07%"
"Jan 11","1.3686","1.3346","1.3760","1.2872","2.29%"
"Feb 11","1.3802","1.3685","1.3862","1.3427","0.85%"
"Mar 11","1.4166","1.3803","1.4250","1.3742","2.64%"
"Apr 11","1.4802","1.4174","1.4884","1.4062","4.49%"
"May 11","1.4396","1.4825","1.4941","1.3969","-2.74%"
"Jun 11","1.4506","1.4393","1.4699","1.4074","0.76%"
"Jul 11","1.4396","1.4498","1.4578","1.3836","-0.76%"
"Aug 11","1.4379","1.4359","1.4549","1.4056","-0.12%"
"Sep 11","1.3386","1.4377","1.4383","1.3363","-6.91%"
"Oct 11","1.3858","1.3337","1.4248","1.3146","3.53%"
"Nov 11","1.3443","1.3858","1.3874","1.3213","-2.99%"
"Dec 11","1.2948","1.3438","1.3551","1.2858","-3.68%"
"Jan 12","1.3078","1.2937","1.3231","1.2624","1.00%"
"Feb 12","1.3326","1.3083","1.3488","1.2975","1.90%"
"Mar 12","1.3344","1.3326","1.3386","1.3003","0.14%"
"Apr 12","1.3240","1.3358","1.3380","1.2994","-0.78%"
"May 12","1.2358","1.3242","1.3285","1.2337","-6.66%"
"Jun 12","1.2660","1.2361","1.2749","1.2288","2.44%"
"Jul 12","1.2304","1.2671","1.2672","1.2041","-2.81%"
"Aug 12","1.2577","1.2305","1.2638","1.2134","2.22%"
"Sep 12","1.2858","1.2567","1.3170","1.2501","2.23%"
"Oct 12","1.2960","1.2860","1.3141","1.2804","0.79%"
"Nov 12","1.2986","1.2960","1.3029","1.2662","0.20%"
"Dec 12","1.3196","1.2986","1.3311","1.2880","1.62%"
"Jan 13","1.3579","1.3195","1.3594","1.2998","2.90%"
"Feb 13","1.3056","1.3577","1.3712","1.3017","-3.85%"
"Mar 13","1.2820","1.3056","1.3136","1.2752","-1.81%"
"Apr 13","1.3167","1.2814","1.3202","1.2746","2.71%"
"May 13","1.2999","1.3170","1.3246","1.2799","-1.28%"
"Jun 13","1.3010","1.2984","1.3417","1.2956","0.08%"
"Jul 13","1.3302","1.3008","1.3346","1.2756","2.24%"
"Aug 13","1.3222","1.3302","1.3455","1.3175","-0.60%"
"Sep 13","1.3526","1.3234","1.3570","1.3105","2.30%"
"Oct 13","1.3584","1.3529","1.3835","1.3475","0.43%"
"Nov 13","1.3591","1.3583","1.3622","1.3296","0.05%"
"Dec 13","1.3746","1.3589","1.3893","1.3523","1.14%"
"Jan 14","1.3487","1.3742","1.3777","1.3480","-1.88%"
"Feb 14","1.3802","1.3493","1.3824","1.3476","2.34%"
"Mar 14","1.3771","1.3786","1.3968","1.3705","-0.22%"
"Apr 14","1.3867","1.3768","1.3906","1.3673","0.70%"
"May 14","1.3631","1.3866","1.3993","1.3585","-1.70%"
"Jun 14","1.3692","1.3634","1.3698","1.3503","0.45%"
"Jul 14","1.3389","1.3692","1.3701","1.3366","-2.21%"
"Aug 14","1.3133","1.3391","1.3444","1.3131","-1.91%"
"Sep 14","1.2632","1.3138","1.3161","1.2571","-3.81%"
"Oct 14","1.2525","1.2631","1.2886","1.2485","-0.85%"
"Nov 14","1.2452","1.2517","1.2601","1.2359","-0.58%"
"Dec 14","1.2099","1.2456","1.2571","1.2096","-2.83%"
"Jan 15","1.1288","1.2101","1.2110","1.1100","-6.70%"
"Feb 15","1.1196","1.1284","1.1535","1.1178","-0.82%"
"Mar 15","1.0731","1.1187","1.1241","1.0457","-4.15%"
"Apr 15","1.1224","1.0736","1.1268","1.0521","4.59%"
"May 15","1.0988","1.1222","1.1467","1.0819","-2.10%"
"Jun 15","1.1138","1.0989","1.1439","1.0889","1.37%"
"Jul 15","1.0988","1.1139","1.1216","1.0809","-1.35%"
"Aug 15","1.1215","1.0972","1.1715","1.0851","2.07%"
"Sep 15","1.1177","1.1210","1.1460","1.1087","-0.34%"
"Oct 15","1.1005","1.1176","1.1496","1.0895","-1.54%"
"Nov 15","1.0564","1.1015","1.1053","1.0557","-4.01%"
"Dec 15","1.0860","1.0567","1.1059","1.0538","2.80%"
"Jan 16","1.0837","1.0862","1.0986","1.0712","-0.21%"
"Feb 16","1.0873","1.0833","1.1377","1.0814","0.33%"
"Mar 16","1.1380","1.0872","1.1413","1.0822","4.66%"
"Apr 16","1.1456","1.1380","1.1466","1.1215","0.67%"
"May 16","1.1132","1.1447","1.1617","1.1099","-2.83%"
"Jun 16","1.1105","1.1132","1.1434","1.0911","-0.24%"
"Jul 16","1.1174","1.1106","1.1200","1.0954","0.62%"
"Aug 16","1.1158","1.1175","1.1367","1.1045","-0.14%"
"Sep 16","1.1241","1.1158","1.1329","1.1122","0.74%"
"Oct 16","1.0981","1.1235","1.1245","1.0850","-2.31%"
"Nov 16","1.0588","1.0982","1.1302","1.0518","-3.58%"
"Dec 16","1.0516","1.0591","1.0875","1.0353","-0.68%"
"Jan 17","1.0798","1.0532","1.0814","1.0342","2.68%"
"Feb 17","1.0577","1.0798","1.0830","1.0494","-2.05%"
"Mar 17","1.0652","1.0576","1.0907","1.0495","0.71%"
"Apr 17","1.0897","1.0660","1.0952","1.0570","2.30%"
"May 17","1.1243","1.0908","1.1269","1.0840","3.18%"
"Jun 17","1.1426","1.1243","1.1448","1.1120","1.63%"
"Jul 17","1.1842","1.1420","1.1847","1.1313","3.64%"
"Aug 17","1.1910","1.1842","1.2071","1.1663","0.57%"
"Sep 17","1.1814","1.1911","1.2094","1.1717","-0.81%"
"Oct 17","1.1646","1.1818","1.1882","1.1575","-1.42%"
"Nov 17","1.1904","1.1646","1.1962","1.1554","2.22%"
"Dec 17","1.1998","1.1904","1.2030","1.1718","0.79%"
"Jan 18","1.2421","1.2002","1.2537","1.1915","3.53%"
"Feb 18","1.2194","1.2413","1.2556","1.2188","-1.83%"
"Mar 18","1.2323","1.2194","1.2477","1.2154","1.06%"
"Apr 18","1.2079","1.2323","1.2414","1.2054","-1.98%"
"May 18","1.1692","1.2078","1.2087","1.1508","-3.20%"
"Jun 18","1.1685","1.1693","1.1853","1.1509","-0.06%"
"Jul 18","1.1691","1.1650","1.1790","1.1572","0.05%"
"Aug 18","1.1601","1.1691","1.1735","1.1299","-0.77%"
"Sep 18","1.1609","1.1596","1.1816","1.1525","0.07%"
"Oct 18","1.1312","1.1609","1.1630","1.1301","-2.56%"
"Nov 18","1.1317","1.1311","1.1502","1.1215","0.04%"
"Dec 18","1.1470","1.1315","1.1486","1.1267","1.35%"
"Jan 19","1.1446","1.1466","1.1572","1.1288","-0.21%"
"Feb 19","1.1371","1.1446","1.1489","1.1232","-0.66%"
"Mar 19","1.1218","1.1370","1.1449","1.1175","-1.35%"
"Apr 19","1.1217","1.1218","1.1326","1.1112","-0.01%"
"May 19","1.1169","1.1215","1.1267","1.1108","-0.43%"
"Jun 19","1.1370","1.1169","1.1414","1.1156","1.80%"
"Jul 19","1.1076","1.1376","1.1376","1.1059","-2.59%"
"Aug 19","1.0991","1.1076","1.1251","1.0963","-0.77%"
"Sep 19","1.0900","1.0990","1.1111","1.0885","-0.83%"
"Oct 19","1.1152","1.0901","1.1181","1.0879","2.31%"
"Nov 19","1.1017","1.1152","1.1177","1.0981","-1.21%"
"Dec 19","1.1212","1.1014","1.1241","1.1003","1.77%"
"Jan 20","1.1094","1.1213","1.1226","1.0991","-1.05%"
"Feb 20","1.1026","1.1093","1.1097","1.0776","-0.61%"
"Mar 20","1.1031","1.1003","1.1494","1.0637","0.05%"
"Apr 20","1.0957","1.1031","1.1040","1.0726","-0.67%"
"May 20","1.1099","1.0956","1.1146","1.0766","1.30%"
"Jun 20","1.1233","1.1097","1.1423","1.1095","1.21%"
"Jul 20","1.1288","1.1234","1.1345","1.1185","0.49%"
